#,year,month,date,tourist
1,2017,1,2017-01,1220695
2,2017,2,2017-02,1252080
3,2017,3,2017-03,1233640
4,2017,4,2017-04,1075899
5,2017,5,2017-05,977889
6,2017,6,2017-06,991802
7,2017,7,2017-07,1008671
8,2017,8,2017-08,1103506
9,2017,9,2017-09,1078653
10,2017,10,2017-10,1165638
11,2017,11,2017-11,1093217
12,2017,12,2017-12,1134068
13,2018,1,2018-01,956036
14,2018,2,2018-02,1045415
15,2018,3,2018-03,1366100
16,2018,4,2018-04,1331709
17,2018,5,2018-05,1238021
18,2018,6,2018-06,1282093
19,2018,7,2018-07,1254833
20,2018,8,2018-08,1391727
21,2018,9,2018-09,1278604
22,2018,10,2018-10,1527832
23,2018,11,2018-11,1350390
24,2018,12,2018-12,1324119
25,2019,1,2019-01,1104803
26,2019,2,2019-02,1201802
27,2019,3,2019-03,1535641
28,2019,4,2019-04,1635066
29,2019,5,2019-05,1485684
30,2019,6,2019-06,1476218
31,2019,7,2019-07,1448067
32,2019,8,2019-08,1586299
33,2019,9,2019-09,1459664
34,2019,10,2019-10,1656195
35,2019,11,2019-11,1456429
36,2019,12,2019-12,1456888
37,2020,1,2020-01,1272708
38,2020,2,2020-02,685212
39,2020,3,2020-03,83497
40,2020,4,2020-04,29415
41,2020,5,2020-05,30806
42,2020,6,2020-06,36938
43,2020,7,2020-07,61012
44,2020,8,2020-08,68797
45,2020,9,2020-09,65040
46,2020,10,2020-10,61585
47,2020,11,2020-11,61764
48,2020,12,2020-12,62344
49,2021,1,2021-01,58397
50,2021,2,2021-02,65582
51,2021,3,2021-03,74604
52,2021,4,2021-04,70112
53,2021,5,2021-05,74463
54,2021,6,2021-06,77029
55,2021,7,2021-07,83005
56,2021,8,2021-08,97087
57,2021,9,2021-09,89800
58,2021,10,2021-10,92416
59,2021,11,2021-11,94358
60,2021,12,2021-12,90150
61,2022,1,2022-01,81851
62,2022,2,2022-02,99999
63,2022,3,2022-03,96768
64,2022,4,2022-04,127919
65,2022,5,2022-05,175922
66,2022,6,2022-06,227713
67,2022,7,2022-07,263986
68,2022,8,2022-08,310945
69,2022,9,2022-09,337638
70,2022,10,2022-10,476097
71,2022,11,2022-11,459906
72,2022,12,2022-12,539273
73,2023,1,2023-01,434429
74,2023,2,2023-02,479248
75,2023,3,2023-03,800575
76,2023,4,2023-04,888776
77,2023,5,2023-05,867130
78,2023,6,2023-06,960638
79,2023,7,2023-07,1032188
80,2023,8,2023-08,1089133
81,2023,9,2023-09,1098034
82,2023,10,2023-10,1229899
83,2023,11,2023-11,1114990
84,2023,12,2023-12,1036625
